RN	E_MeV	A
Ac-226	0	1.486
Ac-226	1e-4	1.486
Ac-226	1.1e-4	1.486
Ac-226	1.2e-4	1.486
Ac-226	1.3e-4	1.486
Ac-226	1.4e-4	1.486
Ac-226	1.5e-4	1.486
Ac-226	1.6e-4	1.486
Ac-226	1.8e-4	1.486
Ac-226	2e-4	1.486
Ac-226	2.2e-4	1.486
Ac-226	2.4e-4	1.486
Ac-226	2.6e-4	1.486
Ac-226	2.8e-4	1.486
Ac-226	3e-4	1.486
Ac-226	3.2e-4	1.486
Ac-226	3.6e-4	1.486
Ac-226	4e-4	1.486
Ac-226	4.5e-4	1.486
Ac-226	5e-4	1.486
Ac-226	5.5e-4	1.486
Ac-226	6e-4	1.486
Ac-226	6.5e-4	1.486
Ac-226	7e-4	1.486
Ac-226	7.5e-4	1.486
Ac-226	8e-4	1.486
Ac-226	8.5e-4	1.486
Ac-226	9e-4	1.486
Ac-226	0.001	1.486
Ac-226	0.0011	1.485
Ac-226	0.0012	1.485
Ac-226	0.0013	1.485
Ac-226	0.0014	1.485
Ac-226	0.0015	1.485
Ac-226	0.0016	1.485
Ac-226	0.0018	1.485
Ac-226	0.002	1.485
Ac-226	0.0022	1.485
Ac-226	0.0024	1.485
Ac-226	0.0026	1.485
Ac-226	0.0028	1.485
Ac-226	0.003	1.485
Ac-226	0.0032	1.485
Ac-226	0.0036	1.485
Ac-226	0.004	1.485
Ac-226	0.0045	1.485
Ac-226	0.005	1.485
Ac-226	0.0055	1.484
Ac-226	0.006	1.484
Ac-226	0.0065	1.484
Ac-226	0.007	1.484
Ac-226	0.0075	1.484
Ac-226	0.008	1.484
Ac-226	0.0085	1.484
Ac-226	0.009	1.483
Ac-226	0.01	1.483
Ac-226	0.011	1.483
Ac-226	0.012	1.482
Ac-226	0.013	1.482
Ac-226	0.014	1.482
Ac-226	0.015	1.481
Ac-226	0.016	1.481
Ac-226	0.018	1.48
Ac-226	0.02	1.483
Ac-226	0.022	1.485
Ac-226	0.024	1.486
Ac-226	0.026	1.488
Ac-226	0.028	1.489
Ac-226	0.03	1.491
Ac-226	0.032	1.492
Ac-226	0.036	1.495
Ac-226	0.04	1.497
Ac-226	0.045	1.5
Ac-226	0.05	1.502
Ac-226	0.055	1.504
Ac-226	0.06	1.506
Ac-226	0.065	1.508
Ac-226	0.07	1.509
Ac-226	0.075	1.511
Ac-226	0.08	1.512
Ac-226	0.085	1.512
Ac-226	0.09	1.513
Ac-226	0.1	1.513
Ac-226	0.11	1.512
Ac-226	0.12	1.51
Ac-226	0.13	1.507
Ac-226	0.14	1.503
Ac-226	0.15	1.498
Ac-226	0.16	1.492
Ac-226	0.18	1.478
Ac-226	0.2	1.461
Ac-226	0.22	1.44
Ac-226	0.24	1.416
Ac-226	0.26	1.389
Ac-226	0.28	1.359
Ac-226	0.3	1.326
Ac-226	0.32	1.291
Ac-226	0.36	1.213
Ac-226	0.4	1.126
Ac-226	0.45	1.007
Ac-226	0.5	0.8802
Ac-226	0.55	0.7491
Ac-226	0.6	0.6176
Ac-226	0.65	0.4899
Ac-226	0.7	0.3704
Ac-226	0.75	0.2637
Ac-226	0.8	0.1745
Ac-226	0.85	0.10780000000000001
Ac-226	0.9	0.0677
Ac-226	1	0.01893
Ac-226	1.1	4.064e-4
Ac-226	1.117	0
Ac-227	0	79.74
Ac-227	1e-4	79.25
Ac-227	1.1e-4	79.21
Ac-227	1.2e-4	79.16
Ac-227	1.3e-4	79.11
Ac-227	1.4e-4	79.06
Ac-227	1.5e-4	79.01
Ac-227	1.6e-4	78.96
Ac-227	1.8e-4	78.87
Ac-227	2e-4	78.77
Ac-227	2.2e-4	78.68
Ac-227	2.4e-4	78.58
Ac-227	2.6e-4	78.49
Ac-227	2.8e-4	78.39
Ac-227	3e-4	78.29
Ac-227	3.2e-4	78.2
Ac-227	3.6e-4	78.01
Ac-227	4e-4	77.82
Ac-227	4.5e-4	77.58
Ac-227	5e-4	77.34
Ac-227	5.5e-4	77.1
Ac-227	6e-4	76.87
Ac-227	6.5e-4	76.63
Ac-227	7e-4	76.4
Ac-227	7.5e-4	76.16
Ac-227	8e-4	75.93
Ac-227	8.5e-4	75.69
Ac-227	9e-4	75.46
Ac-227	0.001	74.99
Ac-227	0.0011	74.53
Ac-227	0.0012	74.07
Ac-227	0.0013	73.61
Ac-227	0.0014	73.15
Ac-227	0.0015	72.69
Ac-227	0.0016	72.24
Ac-227	0.0018	71.33
Ac-227	0.002	70.44
Ac-227	0.0022	69.55
Ac-227	0.0024	68.67
Ac-227	0.0026	67.79
Ac-227	0.0028	66.93
Ac-227	0.003	66.07
Ac-227	0.0032	65.22
Ac-227	0.0036	63.54
Ac-227	0.004	61.89
Ac-227	0.0045	59.87
Ac-227	0.005	57.9
Ac-227	0.0055	55.98
Ac-227	0.006	54.1
Ac-227	0.0065	52.28
Ac-227	0.007	50.5
Ac-227	0.0075	48.76
Ac-227	0.008	47.05
Ac-227	0.0085	45.38
Ac-227	0.009	43.75
Ac-227	0.01	40.59
Ac-227	0.011	37.56
Ac-227	0.012	34.69
Ac-227	0.013	31.95
Ac-227	0.014	29.36
Ac-227	0.015	26.92
Ac-227	0.016	24.62
Ac-227	0.018	20.46
Ac-227	0.02	16.94
Ac-227	0.022	13.9
Ac-227	0.024	11.16
Ac-227	0.026	8.736
Ac-227	0.028	6.628
Ac-227	0.03	4.843
Ac-227	0.032	3.386
Ac-227	0.036	1.473
Ac-227	0.04	0.443
Ac-227	0.0448	0
Ac-228	0	2.148
Ac-228	1e-4	2.146
Ac-228	1.1e-4	2.146
Ac-228	1.2e-4	2.146
Ac-228	1.3e-4	2.145
Ac-228	1.4e-4	2.145
Ac-228	1.5e-4	2.145
Ac-228	1.6e-4	2.145
Ac-228	1.8e-4	2.144
Ac-228	2e-4	2.144
Ac-228	2.2e-4	2.144
Ac-228	2.4e-4	2.143
Ac-228	2.6e-4	2.143
Ac-228	2.8e-4	2.142
Ac-228	3e-4	2.142
Ac-228	3.2e-4	2.142
Ac-228	3.6e-4	2.141
Ac-228	4e-4	2.14
Ac-228	4.5e-4	2.139
Ac-228	5e-4	2.138
Ac-228	5.5e-4	2.137
Ac-228	6e-4	2.136
Ac-228	6.5e-4	2.135
Ac-228	7e-4	2.134
Ac-228	7.5e-4	2.133
Ac-228	8e-4	2.132
Ac-228	8.5e-4	2.131
Ac-228	9e-4	2.131
Ac-228	0.001	2.129
Ac-228	0.0011	2.127
Ac-228	0.0012	2.125
Ac-228	0.0013	2.124
Ac-228	0.0014	2.122
Ac-228	0.0015	2.121
Ac-228	0.0016	2.119
Ac-228	0.0018	2.116
Ac-228	0.002	2.114
Ac-228	0.0022	2.111
Ac-228	0.0024	2.109
Ac-228	0.0026	2.107
Ac-228	0.0028	2.105
Ac-228	0.003	2.103
Ac-228	0.0032	2.102
Ac-228	0.0036	2.099
Ac-228	0.004	2.097
Ac-228	0.0045	2.095
Ac-228	0.005	2.093
Ac-228	0.0055	2.091
Ac-228	0.006	2.089
Ac-228	0.0065	2.087
Ac-228	0.007	2.085
Ac-228	0.0075	2.083
Ac-228	0.008	2.081
Ac-228	0.0085	2.079
Ac-228	0.009	2.077
Ac-228	0.01	2.073
Ac-228	0.011	2.069
Ac-228	0.012	2.064
Ac-228	0.013	2.06
Ac-228	0.014	2.056
Ac-228	0.015	2.052
Ac-228	0.016	2.048
Ac-228	0.018	2.04
Ac-228	0.02	2.037
Ac-228	0.022	2.032
Ac-228	0.024	2.027
Ac-228	0.026	2.022
Ac-228	0.028	2.017
Ac-228	0.03	2.012
Ac-228	0.032	2.006
Ac-228	0.036	1.996
Ac-228	0.04	1.986
Ac-228	0.045	1.973
Ac-228	0.05	1.96
Ac-228	0.055	1.946
Ac-228	0.06	1.933
Ac-228	0.065	1.92
Ac-228	0.07	1.906
Ac-228	0.075	1.893
Ac-228	0.08	1.88
Ac-228	0.085	1.867
Ac-228	0.09	1.854
Ac-228	0.1	1.828
Ac-228	0.11	1.804
Ac-228	0.12	1.78
Ac-228	0.13	1.755
Ac-228	0.14	1.73
Ac-228	0.15	1.704
Ac-228	0.16	1.678
Ac-228	0.18	1.625
Ac-228	0.2	1.571
Ac-228	0.22	1.515
Ac-228	0.24	1.457
Ac-228	0.26	1.399
Ac-228	0.28	1.34
Ac-228	0.3	1.282
Ac-228	0.32	1.224
Ac-228	0.36	1.114
Ac-228	0.4	1.015
Ac-228	0.45	0.9107
Ac-228	0.5	0.8228
Ac-228	0.55	0.7412
Ac-228	0.6	0.6664
Ac-228	0.65	0.5948
Ac-228	0.7	0.5234
Ac-228	0.75	0.4532
Ac-228	0.8	0.3856
Ac-228	0.85	0.3225
Ac-228	0.9	0.2659
Ac-228	1	0.1789
Ac-228	1.1	0.1236
Ac-228	1.2	0.09658
Ac-228	1.3	0.07541
Ac-228	1.4	0.05527
Ac-228	1.5	0.03724
Ac-228	1.6	0.02248
Ac-228	1.8	0.00656
Ac-228	2	4.696e-4
Ac-228	2.06924	0
Ac-230	0	0.5725
Ac-230	1e-4	0.5726
Ac-230	1.1e-4	0.5726
Ac-230	1.2e-4	0.5726
Ac-230	1.3e-4	0.5726
Ac-230	1.4e-4	0.5726
Ac-230	1.5e-4	0.5726
Ac-230	1.6e-4	0.5726
Ac-230	1.8e-4	0.5726
Ac-230	2e-4	0.5726
Ac-230	2.2e-4	0.5726
Ac-230	2.4e-4	0.5726
Ac-230	2.6e-4	0.5726
Ac-230	2.8e-4	0.5726
Ac-230	3e-4	0.5726
Ac-230	3.2e-4	0.5726
Ac-230	3.6e-4	0.5727
Ac-230	4e-4	0.5727
Ac-230	4.5e-4	0.5727
Ac-230	5e-4	0.5727
Ac-230	5.5e-4	0.5727
Ac-230	6e-4	0.5727
Ac-230	6.5e-4	0.5727
Ac-230	7e-4	0.5728
Ac-230	7.5e-4	0.5728
Ac-230	8e-4	0.5728
Ac-230	8.5e-4	0.5728
Ac-230	9e-4	0.5728
Ac-230	0.001	0.5729
Ac-230	0.0011	0.5729
Ac-230	0.0012	0.5729
Ac-230	0.0013	0.5729
Ac-230	0.0014	0.573
Ac-230	0.0015	0.573
Ac-230	0.0016	0.573
Ac-230	0.0018	0.5731
Ac-230	0.002	0.5732
Ac-230	0.0022	0.5732
Ac-230	0.0024	0.5733
Ac-230	0.0026	0.5733
Ac-230	0.0028	0.5734
Ac-230	0.003	0.5735
Ac-230	0.0032	0.5735
Ac-230	0.0036	0.5736
Ac-230	0.004	0.5738
Ac-230	0.0045	0.5739
Ac-230	0.005	0.5741
Ac-230	0.0055	0.5742
Ac-230	0.006	0.5744
Ac-230	0.0065	0.5745
Ac-230	0.007	0.5746
Ac-230	0.0075	0.5748
Ac-230	0.008	0.5749
Ac-230	0.0085	0.5751
Ac-230	0.009	0.5752
Ac-230	0.01	0.5755
Ac-230	0.011	0.5758
Ac-230	0.012	0.5761
Ac-230	0.013	0.5763
Ac-230	0.014	0.5766
Ac-230	0.015	0.5769
Ac-230	0.016	0.5772
Ac-230	0.018	0.5777
Ac-230	0.02	0.5796
Ac-230	0.022	0.5811
Ac-230	0.024	0.5825
Ac-230	0.026	0.584
Ac-230	0.028	0.5854
Ac-230	0.03	0.5868
Ac-230	0.032	0.5882
Ac-230	0.036	0.5909
Ac-230	0.04	0.5937
Ac-230	0.045	0.597
Ac-230	0.05	0.6003
Ac-230	0.055	0.6035
Ac-230	0.06	0.6066
Ac-230	0.065	0.6097
Ac-230	0.07	0.6127
Ac-230	0.075	0.6156
Ac-230	0.08	0.6185
Ac-230	0.085	0.6213
Ac-230	0.09	0.624
Ac-230	0.1	0.6293
Ac-230	0.11	0.6343
Ac-230	0.12	0.639
Ac-230	0.13	0.6435
Ac-230	0.14	0.6478
Ac-230	0.15	0.6518
Ac-230	0.16	0.6556
Ac-230	0.18	0.6624
Ac-230	0.2	0.6682
Ac-230	0.22	0.6732
Ac-230	0.24	0.6772
Ac-230	0.26	0.6803
Ac-230	0.28	0.6825
Ac-230	0.3	0.684
Ac-230	0.32	0.6845
Ac-230	0.36	0.6834
Ac-230	0.4	0.6794
Ac-230	0.45	0.6709
Ac-230	0.5	0.659
Ac-230	0.55	0.6445
Ac-230	0.6	0.6282
Ac-230	0.65	0.6107
Ac-230	0.7	0.5922
Ac-230	0.75	0.5734
Ac-230	0.8	0.5548
Ac-230	0.85	0.5369
Ac-230	0.9	0.5194
Ac-230	1	0.4869
Ac-230	1.1	0.4558
Ac-230	1.2	0.4255
Ac-230	1.3	0.394
Ac-230	1.4	0.3613
Ac-230	1.5	0.3287
Ac-230	1.6	0.2972
Ac-230	1.8	0.2332
Ac-230	2	0.1689
Ac-230	2.2	0.1096
Ac-230	2.4	0.0608
Ac-230	2.6	0.02529
Ac-230	2.8	0.004061
Ac-230	2.94	0
Ac-231	0	0.824
