RN	half_life	units	decay_mode	pointer_rad	pointer_bet	pointer_ack	pointer_nsf	progeny_1	pointer_1	branch_1	progeny_2	pointer_2	branch_2	progeny_3	pointer_3	branch_3	progeny_4	pointer_4	branch_	E_alpha	E_electron	E_photon	num_phot_lt_10k	num_phot_gt_10k	num_betas	num_mono_e	num_alpha	AMU	air_kerma_rate_const	air_kerma_coef	decay_constant
Ac-223	2.1	m	A	1	0	0	0	Fr-219	358	0.99	NA	0	0	NA	0	0	NA	0	0	6.672	0.02536	0.01903	7	118	0	297	29	223.019137	3.739e-18	3.739e-18	0.005501168099682105
Ac-224	2.78	h	ECA	482	0	0	0	Ra-224	820	0.909	Fr-220	359	0.091	NA	0	0	NA	0	0	0.5662	0.04901	0.23248	15	211	0	398	29	224.021722	2.304e-17	2.304e-17	6.925931060750853e-5
Ac-225	10	d	A	1165	0	0	0	Fr-221	360	1	NA	0	0	NA	0	0	NA	0	0	5.8919	0.02476	0.01708	7	157	0	526	44	225.023229	6.777e-18	6.777e-18	8.022536812036404e-7
Ac-226	29.37	h	B-ECA	1944	1	0	0	Th-226	1108	0.83	Ra-226	822	0.17	Fr-222	361	6e-5	NA	0	0	3e-4	0.29143	0.13271	14	140	5	99	1	226.026098	1.048e-17	1.048e-17	6.555699131388277e-6
Ac-227	21.772	y	B-A	2205	114	0	0	Th-227	1109	0.9862	Fr-223	362	0.0138	NA	0	0	NA	0	0	0.0692	0.01502	0.00105	15	185	4	421	19	227.027752	1.009e-18	1.009e-18	1.0088244658372035e-9
Ac-228	6.15	h	B-	2869	188	0	0	Th-228	1110	1	NA	0	0	NA	0	0	NA	0	0	0	0.44945	0.86714	7	329	54	1465	0	228.031021	3.991e-17	3.991e-17	3.130746072989816e-5
Ac-230	122	s	B-	4725	308	0	0	Th-230	1112	1	NA	0	0	NA	0	0	NA	0	0	0	0.92285	0.54396	7	218	42	720	0	230.036294	2.278e-17	2.278e-17	0.0056815342668847975
Ac-231	7.5	m	B-	5713	432	0	0	Th-231	1113	1	NA	0	0	NA	0	0	NA	0	0	0	0.63605	0.41898	7	80	3	110	0	231.038558	2.239e-17	2.239e-17	0.0015403270679109895
Ac-232	119	s	B-	5914	551	0	0	Th-232	1114	1	NA	0	0	NA	0	0	NA	0	0	0	0.97069	1.15279	7	92	16	186	0	232.042027	4.356e-17	4.356e-17	0.005824766223192818
Ac-233	145	s	B-	6216	678	0	0	Th-233	1115	1	NA	0	0	NA	0	0	NA	0	0	0	0.8355	0.49926	7	67	2	30	0	233.04455	1.92e-17	1.92e-17	0.004780325383172037
Ag-100m	2.24	m	ECB+	6323	801	0	0	Pd-100	716	1	NA	0	0	NA	0	0	NA	0	0	0	1.90681	2.82482	30	24	9	76	0	99.916104	6.421e-17	1.007e-16	0.005157345093451973
Ag-101	11.1	m	ECB+	6463	931	0	0	Pd-101	717	1	NA	0	0	NA	0	0	NA	0	0	0	0.83955	1.57031	30	87	22	424	0	100.912802	3.183e-17	5.979e-17	0.0010407615323722902
Ag-102	12.9	m	ECB+	7258	1183	0	0	Pd-102	0	1	NA	0	0	NA	0	0	NA	0	0	0	0.84299	3.40918	30	46	11	136	0	101.911685	9.228e-17	1.208e-16	8.955389929715056e-4
Ag-102m	7.7	m	ECB+IT	7027	1055	0	0	Ag-102	14	0.49	Pd-102	0	0.51	NA	0	0	NA	0	0	0	0.39638	1.99329	63	38	10	119	0	101.911685	5.137e-17	6.487e-17	0.0015003185726405741
Ag-103	65.7	m	ECB+	7482	1309	0	0	Pd-103	718	1	NA	0	0	NA	0	0	NA	0	0	0	0.19725	0.84396	30	119	18	634	0	102.908972	2.599e-17	3.664e-17	1.7583642327751023e-4
Ag-104	69.2	m	ECB+	8284	1427	0	0	Pd-104	0	1	NA	0	0	NA	0	0	NA	0	0	0	0.09166	2.70658	30	95	21	436	0	103.908629	9.782e-17	1.039e-16	1.6694296256260726e-4
Ag-104m	33.5	m	ECB+IT	8867	1546	0	0	Ag-104	17	7e-4	Pd-104	0	0.9993	NA	0	0	NA	0	0	0	0.73307	1.80467	63	77	29	419	0	103.908629	4.194e-17	6.597e-17	3.4484934356216184e-4
Ag-105	41.29	d	EC	9456	0	0	0	Pd-105	0	1	NA	0	0	NA	0	0	NA	0	0	0	0.01915	0.5138	30	71	0	364	0	104.906528	2.804e-17	2.804e-17	1.9429733136440794e-7
